Week,Google Artificial Intelligence,Microsoft Artificial Intelligence,Nvidia Artificial Intelligence
8/07/22,39,3,4
8/14/22,44,5,2
8/21/22,45,7,8
8/28/22,50,5,2
9/04/22,46,16,4
9/11/22,48,9,3
9/18/22,51,7,7
9/25/22,50,6,4
10/02/22,44,7,6
10/09/22,54,5,6
10/16/22,59,7,5
10/23/22,52,7,1
10/30/22,53,4,5
11/06/22,57,5,4
11/13/22,50,5,3
11/20/22,52,5,2
11/27/22,51,5,6
12/04/22,53,6,4
12/11/22,51,8,6
12/18/22,43,5,2
12/25/22,42,4,4
1/01/23,40,6,3
1/08/23,52,9,4
1/15/23,59,11,5
1/22/23,59,11,9
1/29/23,74,10,4
2/05/23,87,15,6
2/12/23,69,16,5
2/19/23,81,13,8
2/26/23,80,12,6
3/05/23,72,8,3
3/12/23,72,14,3
3/19/23,73,17,5
3/26/23,87,18,10
4/02/23,75,11,7
4/09/23,77,9,7
4/16/23,90,15,7
4/23/23,70,12,6
4/30/23,87,10,8
5/07/23,100,11,10
5/14/23,82,10,3
5/21/23,84,13,5
5/28/23,76,12,7
6/04/23,76,13,10
6/11/23,77,10,6
6/18/23,70,11,4
6/25/23,64,13,6
7/02/23,59,10,5
7/09/23,69,13,8
7/16/23,67,14,6
7/23/23,61,15,7
7/30/23,57,9,0
