Week,Tesla Electric Vehicle,Rivian Electric Vehicle,Ford Electric Vehicle
8/07/22,65,14,37
8/14/22,68,22,57
8/21/22,63,15,49
8/28/22,60,18,31
9/04/22,37,12,32
9/11/22,68,9,40
9/18/22,36,16,32
9/25/22,39,11,26
10/02/22,57,20,54
10/09/22,28,13,39
10/16/22,49,6,41
10/23/22,44,6,29
10/30/22,45,8,23
11/06/22,42,17,30
11/13/22,44,9,23
11/20/22,35,21,30
11/27/22,48,8,22
12/04/22,47,11,31
12/11/22,35,4,23
12/18/22,51,7,24
12/25/22,55,13,19
1/01/23,54,13,30
1/08/23,64,4,32
1/15/23,100,11,27
1/22/23,68,5,40
1/29/23,69,8,36
2/05/23,69,8,25
2/12/23,61,22,34
2/19/23,62,0,22
2/26/23,69,11,28
3/05/23,79,11,28
3/12/23,55,21,22
3/19/23,62,7,39
3/26/23,66,14,39
4/02/23,58,13,32
4/09/23,69,15,25
4/16/23,72,9,18
4/23/23,61,0,26
4/30/23,64,12,34
5/07/23,60,17,25
5/14/23,61,7,21
5/21/23,43,11,30
5/28/23,42,5,13
6/04/23,70,10,18
6/11/23,69,18,14
6/18/23,57,11,17
6/25/23,72,9,28
7/02/23,57,6,25
7/09/23,60,18,28
7/16/23,78,15,28
7/23/23,62,10,16
