Week,Facebook Metaverse,Roblox Metaverse,Apple Metaverse
8/07/22,40,24,11
8/14/22,46,15,3
8/21/22,61,29,15
8/28/22,43,13,3
9/04/22,43,14,12
9/11/22,41,20,0
9/18/22,50,11,10
9/25/22,40,17,4
10/02/22,57,11,12
10/09/22,81,13,10
10/16/22,74,16,11
10/23/22,100,23,20
10/30/22,83,16,18
11/06/22,95,24,23
11/13/22,60,17,19
11/20/22,39,4,8
11/27/22,38,14,4
12/04/22,49,11,8
12/11/22,36,17,5
12/18/22,18,6,0
12/25/22,27,0,4
1/01/23,14,6,0
1/08/23,29,0,13
1/15/23,21,7,6
1/22/23,25,11,0
1/29/23,10,9,6
2/05/23,30,6,0
2/12/23,15,15,10
2/19/23,16,9,12
2/26/23,20,8,3
3/05/23,37,4,0
3/12/23,19,3,7
3/19/23,31,10,0
3/26/23,34,15,5
4/02/23,14,5,7
4/09/23,12,8,0
4/16/23,19,6,0
4/23/23,24,11,6
4/30/23,21,14,0
5/07/23,20,4,7
5/14/23,18,3,0
5/21/23,14,0,8
5/28/23,10,5,5
6/04/23,22,7,44
6/11/23,15,10,9
6/18/23,10,7,0
6/25/23,0,7,6
7/02/23,20,10,5
7/09/23,7,15,0
7/16/23,10,10,0
7/23/23,8,12,0
